Source,Target,Weight
Зоя Берёзкина,Разносчица яблок,1
Зоя Берёзкина,Розалия Павловна,1
Изобретатель,Молодой рабочий,1
Изобретатель,Парень,1
Изобретатель,Парень с книгой,1
Изобретатель,Присыпкин (Пьер Скрипкин),1
Изобретатель,Слесарь,1
Изобретатель,Уборщик,1
Милиционер,Присыпкин (Пьер Скрипкин),1
Милиционер,Продавец клея,1
Милиционер,Продавец книг,1
Милиционер,Продавец сельдей,1
Милиционер,Продавец шаров,1
Милиционер,Разносчик абажуров,1
Милиционер,Разносчик игрушек,1
Милиционер,Разносчик кукол,1
Милиционер,Разносчик пуговиц,1
Милиционер,Разносчик селёдок,1
Милиционер,Разносчик точильных камней,1
Милиционер,Разносчица,1
Милиционер,Разносчица галантереи,1
Милиционер,Разносчица духов,1
Милиционер,Разносчица яблок,1
Милиционер,Розалия Павловна,1
Молодой,Оратор,1
Молодой,Старый,1
Молодой рабочий,Парень,1
Молодой рабочий,Парень с книгой,1
Молодой рабочий,Присыпкин (Пьер Скрипкин),1
Молодой рабочий,Слесарь,1
Молодой рабочий,Уборщик,1
Мужчина,Профессор,1
Мужчина,Репортёр,1
Мужчина,Сидящие,1
Оратор,Старый,1
Парень,Парень с книгой,1
Парень,Присыпкин (Пьер Скрипкин),1
Парень,Слесарь,1
Парень,Уборщик,1
Парень с книгой,Присыпкин (Пьер Скрипкин),1
Парень с книгой,Слесарь,1
Парень с книгой,Уборщик,1
Парикмахер,Посажёная,1
Парикмахер,Присыпкин (Пьер Скрипкин),1
Парикмахер,Розалия Павловна,1
Парикмахер,Шафер,1
Парикмахер,Эльзевира,1
Посажёная,Присыпкин (Пьер Скрипкин),1
Посажёная,Розалия Павловна,1
Посажёная,Шафер,1
Посажёная,Эльзевира,1
Председатель совета,Присыпкин (Пьер Скрипкин),1
Председатель совета,Распорядитель,1
Присыпкин (Пьер Скрипкин),Продавец клея,1
Присыпкин (Пьер Скрипкин),Продавец книг,1
Присыпкин (Пьер Скрипкин),Продавец сельдей,1
Присыпкин (Пьер Скрипкин),Продавец шаров,1
Присыпкин (Пьер Скрипкин),Профессор,2
Присыпкин (Пьер Скрипкин),Разносчик абажуров,1
Присыпкин (Пьер Скрипкин),Разносчик игрушек,1
Присыпкин (Пьер Скрипкин),Разносчик кукол,1
Присыпкин (Пьер Скрипкин),Разносчик пуговиц,1
Присыпкин (Пьер Скрипкин),Разносчик селёдок,1
Присыпкин (Пьер Скрипкин),Разносчик точильных камней,1
Присыпкин (Пьер Скрипкин),Разносчица,1
Присыпкин (Пьер Скрипкин),Разносчица галантереи,1
Присыпкин (Пьер Скрипкин),Разносчица духов,1
Присыпкин (Пьер Скрипкин),Разносчица яблок,1
Присыпкин (Пьер Скрипкин),Распорядитель,1
Присыпкин (Пьер Скрипкин),Розалия Павловна,2
Присыпкин (Пьер Скрипкин),Слесарь,1
Присыпкин (Пьер Скрипкин),Уборщик,1
Присыпкин (Пьер Скрипкин),Шафер,1
Присыпкин (Пьер Скрипкин),Эльзевира,1
Продавец клея,Продавец книг,1
Продавец клея,Продавец сельдей,1
Продавец клея,Продавец шаров,1
Продавец клея,Разносчик абажуров,1
Продавец клея,Разносчик игрушек,1
Продавец клея,Разносчик кукол,1
Продавец клея,Разносчик пуговиц,1
Продавец клея,Разносчик селёдок,1
Продавец клея,Разносчик точильных камней,1
Продавец клея,Разносчица,1
Продавец клея,Разносчица галантереи,1
Продавец клея,Разносчица духов,1
Продавец клея,Разносчица яблок,1
Продавец клея,Розалия Павловна,1
Продавец книг,Продавец сельдей,1
Продавец книг,Продавец шаров,1
Продавец книг,Разносчик абажуров,1
Продавец книг,Разносчик игрушек,1
Продавец книг,Разносчик кукол,1
Продавец книг,Разносчик пуговиц,1
Продавец книг,Разносчик селёдок,1
Продавец книг,Разносчик точильных камней,1
Продавец книг,Разносчица,1
Продавец книг,Разносчица галантереи,1
Продавец книг,Разносчица духов,1
Продавец книг,Разносчица яблок,1
Продавец книг,Розалия Павловна,1
Продавец сельдей,Продавец шаров,1
Продавец сельдей,Разносчик абажуров,1
Продавец сельдей,Разносчик игрушек,1
Продавец сельдей,Разносчик кукол,1
Продавец сельдей,Разносчик пуговиц,1
Продавец сельдей,Разносчик селёдок,1
Продавец сельдей,Разносчик точильных камней,1
Продавец сельдей,Разносчица,1
Продавец сельдей,Разносчица галантереи,1
Продавец сельдей,Разносчица духов,1
Продавец сельдей,Разносчица яблок,1
Продавец сельдей,Розалия Павловна,1
Продавец шаров,Разносчик абажуров,1
Продавец шаров,Разносчик игрушек,1
Продавец шаров,Разносчик кукол,1
Продавец шаров,Разносчик пуговиц,1
Продавец шаров,Разносчик селёдок,1
Продавец шаров,Разносчик точильных камней,1
Продавец шаров,Разносчица,1
Продавец шаров,Разносчица галантереи,1
Продавец шаров,Разносчица духов,1
Продавец шаров,Разносчица яблок,1
Продавец шаров,Розалия Павловна,1
Профессор,Репортёр,1
Профессор,Сидящие,1
Разносчик абажуров,Разносчик игрушек,1
Разносчик абажуров,Разносчик кукол,1
Разносчик абажуров,Разносчик пуговиц,1
Разносчик абажуров,Разносчик селёдок,1
Разносчик абажуров,Разносчик точильных камней,1
Разносчик абажуров,Разносчица,1
Разносчик абажуров,Разносчица галантереи,1
Разносчик абажуров,Разносчица духов,1
Разносчик абажуров,Разносчица яблок,1
Разносчик абажуров,Розалия Павловна,1
Разносчик игрушек,Разносчик кукол,1
Разносчик игрушек,Разносчик пуговиц,1
Разносчик игрушек,Разносчик селёдок,1
Разносчик игрушек,Разносчик точильных камней,1
Разносчик игрушек,Разносчица,1
Разносчик игрушек,Разносчица галантереи,1
Разносчик игрушек,Разносчица духов,1
Разносчик игрушек,Разносчица яблок,1
Разносчик игрушек,Розалия Павловна,1
Разносчик кукол,Разносчик пуговиц,1
Разносчик кукол,Разносчик селёдок,1
Разносчик кукол,Разносчик точильных камней,1
Разносчик кукол,Разносчица,1
Разносчик кукол,Разносчица галантереи,1
Разносчик кукол,Разносчица духов,1
Разносчик кукол,Разносчица яблок,1
Разносчик кукол,Розалия Павловна,1
Разносчик пуговиц,Разносчик селёдок,1
Разносчик пуговиц,Разносчик точильных камней,1
Разносчик пуговиц,Разносчица,1
Разносчик пуговиц,Разносчица галантереи,1
Разносчик пуговиц,Разносчица духов,1
Разносчик пуговиц,Разносчица яблок,1
Разносчик пуговиц,Розалия Павловна,1
Разносчик селёдок,Разносчик точильных камней,1
Разносчик селёдок,Разносчица,1
Разносчик селёдок,Разносчица галантереи,1
Разносчик селёдок,Разносчица духов,1
Разносчик селёдок,Разносчица яблок,1
Разносчик селёдок,Розалия Павловна,1
Разносчик точильных камней,Разносчица,1
Разносчик точильных камней,Разносчица галантереи,1
Разносчик точильных камней,Разносчица духов,1
Разносчик точильных камней,Разносчица яблок,1
Разносчик точильных камней,Розалия Павловна,1
Разносчица,Разносчица галантереи,1
Разносчица,Разносчица духов,1
Разносчица,Разносчица яблок,1
Разносчица,Розалия Павловна,1
Разносчица галантереи,Разносчица духов,1
Разносчица галантереи,Разносчица яблок,1
Разносчица галантереи,Розалия Павловна,1
Разносчица духов,Разносчица яблок,1
Разносчица духов,Розалия Павловна,1
Разносчица яблок,Розалия Павловна,1
Репортёр,Сидящие,1
Розалия Павловна,Шафер,1
Розалия Павловна,Эльзевира,1
Слесарь,Уборщик,1
Шафер,Эльзевира,1
